#mH		(GeV)			Cross		Section		(pb)			+scale		%			-scale		%			+(PDF+αs)		%			-(PDF+αs)		%			+		Total		%			-		Total		%
139.5			15.6894			6.9			7.6			7.4			6.9			14.3			14.5
140			15.5782			6.9			7.6			7.4			6.9			14.3			14.5
141			15.3592			6.8			7.6			7.3			6.9			14.1			14.5
142			15.1446			6.8			7.5			7.3			6.9			14.1			14.4
143			14.9342			6.8			7.5			7.3			6.9			14.1			14.4
144			14.7278			6.8			7.5			7.3			6.9			14.1			14.4
145			14.5253			6.8			7.5			7.3			6.9			14.1			14.4
146			14.3267			6.7			7.5			7.3			6.9			14			14.4
147			14.1318			6.7			7.5			7.3			6.9			14			14.4
148			13.9404			6.7			7.4			7.3			7			14			14.4
149			13.7522			6.7			7.4			7.4			7			14.1			14.4
150			13.5672			6.7			7.4			7.4			7			14.1			14.4
151			13.3852			6.7			7.4			7.4			7			14.1			14.4
152			13.2057			6.6			7.4			7.4			7.1			14			14.5
153			13.0284			6.6			7.4			7.5			7.1			14.1			14.5
154			12.8527			6.6			7.3			7.5			7.1			14.1			14.4
155			12.6779			6.6			7.3			7.5			7.1			14.1			14.4
156			12.5028			6.6			7.3			7.5			7.1			14.1			14.4
157			12.3256			6.6			7.3			7.5			7.1			14.1			14.4
158			12.1439			6.5			7.3			7.5			7.1			14			14.4
159			11.9554			6.5			7.3			7.5			7.1			14			14.4
160			11.7624			6.5			7.3			7.5			7.1			14			14.4
162			11.3963			6.5			7.2			7.5			7.2			14			14.4
164			11.0387			6.4			7.2			7.5			7.2			13.9			14.4
166			10.7032			6.4			7.2			7.5			7.3			13.9			14.5
168			10.3946			6.4			7.2			7.5			7.3			13.9			14.5
170			10.1077			6.4			7.1			7.5			7.4			13.9			14.5
172			9.8376			6.3			7.1			7.5			7.4			13.8			14.5
174			9.5807			6.3			7.1			7.4			7.4			13.7			14.5
176			9.3337			6.3			7.1			7.4			7.4			13.7			14.5
178			9.0926			6.3			7			7.4			7.5			13.7			14.5
180			8.8521			6.2			7			7.4			7.5			13.6			14.5
182			8.6143			6.2			7			7.4			7.5			13.6			14.5
184			8.3939			6.2			7			7.4			7.5			13.6			14.5
186			8.179			6.1			6.9			7.4			7.5			13.5			14.4
188			7.9739			6.1			6.9			7.4			7.5			13.5			14.4
190			7.7803			6.1			6.9			7.4			7.5			13.5			14.4
192			7.5975			6.1			6.9			7.4			7.6			13.5			14.5
194			7.4242			6.1			6.9			7.4			7.6			13.5			14.5
196			7.259			6			6.8			7.4			7.6			13.4			14.4
198			7.101			6			6.8			7.4			7.7			13.4			14.5
200			6.9497			6			6.8			7.4			7.7			13.4			14.5
202			6.8042			6			6.8			7.4			7.7			13.4			14.5
204			6.6642			6			6.8			7.4			7.7			13.4			14.5
206			6.5296			6			6.7			7.4			7.7			13.4			14.4
208			6.3999			6			6.7			7.4			7.8			13.4			14.5
210			6.2744			6			6.7			7.4			7.8			13.4			14.5
212			6.1533			6			6.7			7.4			7.7			13.4			14.4
214			6.0364			6			6.7			7.4			7.7			13.4			14.4
216			5.9234			5.9			6.6			7.4			7.7			13.3			14.3
