#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %
125.8    0.08467     +3.2    -9.3    +8.4    -8.4
125.9    0.08446     +3.2    -9.3    +8.4    -8.4
126.0    0.08426     +3.2    -9.3    +8.4    -8.4
126.1    0.08406     +3.2    -9.3    +8.4    -8.4
126.2    0.08386     +3.2    -9.3    +8.4    -8.4
126.3    0.08366     +3.2    -9.3    +8.4    -8.4
126.4    0.08346     +3.2    -9.3    +8.4    -8.4
126.5    0.08326     +3.2    -9.3    +8.4    -8.4
126.6    0.08306     +3.2    -9.3    +8.4    -8.4
126.7    0.08286     +3.2    -9.3    +8.4    -8.4
126.8    0.08266     +3.2    -9.3    +8.4    -8.4
126.9    0.08246     +3.2    -9.3    +8.4    -8.4
127.0    0.08226     +3.2    -9.3    +8.4    -8.4
127.1    0.08207     +3.2    -9.3    +8.4    -8.4
127.2    0.08187     +3.2    -9.3    +8.4    -8.4
127.3    0.08168     +3.2    -9.3    +8.4    -8.4
127.4    0.08148     +3.2    -9.3    +8.4    -8.4
127.5    0.08129     +3.2    -9.3    +8.4    -8.4
127.6    0.08109     +3.2    -9.3    +8.4    -8.4
127.7    0.08090     +3.2    -9.3    +8.4    -8.4
127.8    0.08071     +3.2    -9.3    +8.4    -8.4
127.9    0.08051     +3.2    -9.3    +8.4    -8.4
128.0    0.08032     +3.2    -9.3    +8.4    -8.4
128.1    0.08013     +3.2    -9.3    +8.4    -8.4
128.2    0.07994     +3.2    -9.3    +8.4    -8.4
128.3    0.07975     +3.2    -9.3    +8.4    -8.4
128.4    0.07956     +3.2    -9.3    +8.4    -8.4
128.5    0.07937     +3.2    -9.3    +8.4    -8.4
128.6    0.07918     +3.2    -9.3    +8.5    -8.5
128.7    0.07900     +3.2    -9.3    +8.5    -8.5
128.8    0.07881     +3.2    -9.2    +8.5    -8.5
128.9    0.07862     +3.2    -9.2    +8.5    -8.5
129.0    0.07844     +3.2    -9.2    +8.5    -8.5
129.1    0.07825     +3.2    -9.2    +8.5    -8.5
129.2    0.07807     +3.2    -9.2    +8.5    -8.5
129.3    0.07788     +3.2    -9.2    +8.5    -8.5
129.4    0.07770     +3.2    -9.2    +8.5    -8.5
129.5    0.07751     +3.2    -9.2    +8.5    -8.5
129.6    0.07733     +3.2    -9.2    +8.5    -8.5
129.7    0.07715     +3.2    -9.2    +8.5    -8.5
129.8    0.07696     +3.2    -9.2    +8.5    -8.5
129.9    0.07678     +3.2    -9.2    +8.5    -8.5
130.0    0.07660     +3.2    -9.2    +8.5    -8.5
130.5    0.07570     +3.1    -9.2    +8.5    -8.5
131.0    0.07482     +3.1    -9.2    +8.5    -8.5
131.5    0.07394     +3.1    -9.2    +8.5    -8.5
132.0    0.07308     +3.1    -9.2    +8.5    -8.5
132.5    0.07223     +3.1    -9.2    +8.5    -8.5
133.0    0.07140     +3.1    -9.2    +8.5    -8.5
133.5    0.07057     +3.1    -9.2    +8.5    -8.5
134.0    0.06975     +3.1    -9.2    +8.5    -8.5
134.5    0.06895     +3.1    -9.2    +8.5    -8.5
135.0    0.06816     +3.1    -9.2    +8.5    -8.5
135.5    0.06738     +3.1    -9.2    +8.5    -8.5
136.0    0.06660     +3.0    -9.2    +8.5    -8.5
136.5    0.06584     +3.0    -9.2    +8.5    -8.5
137.0    0.06509     +3.0    -9.2    +8.5    -8.5
137.5    0.06435     +3.0    -9.2    +8.5    -8.5
138.0    0.06362     +3.0    -9.2    +8.5    -8.5
138.5    0.06290     +3.0    -9.2    +8.5    -8.5
139.0    0.06219     +3.0    -9.2    +8.5    -8.5
139.5    0.06148     +3.0    -9.2    +8.5    -8.5
140.0    0.06079     +3.0    -9.2    +8.5    -8.5
140.5    0.06010     +3.0    -9.2    +8.5    -8.5
141.0    0.05942     +3.0    -9.1    +8.5    -8.5
141.5    0.05875     +3.0    -9.1    +8.5    -8.5
142.0    0.05808     +2.9    -9.1    +8.5    -8.5
142.5    0.05743     +2.9    -9.1    +8.5    -8.5
143.0    0.05678     +2.9    -9.1    +8.5    -8.5
143.5    0.05615     +2.9    -9.1    +8.5    -8.5
144.0    0.05552     +2.9    -9.1    +8.5    -8.5
144.5    0.05490     +2.9    -9.1    +8.5    -8.5
145.0    0.05429     +2.9    -9.1    +8.5    -8.5
145.5    0.05369     +2.9    -9.1    +8.5    -8.5
146.0    0.05310     +2.9    -9.1    +8.5    -8.5
146.5    0.05252     +2.9    -9.1    +8.5    -8.5
147.0    0.05195     +2.9    -9.1    +8.5    -8.5
147.5    0.05138     +2.9    -9.1    +8.5    -8.5
148.0    0.05082     +2.9    -9.1    +8.5    -8.5
148.5    0.05027     +2.9    -9.1    +8.5    -8.5
149.0    0.04973     +2.9    -9.1    +8.5    -8.5
149.5    0.04920     +2.8    -9.1    +8.5    -8.5
150.0    0.04867     +2.8    -9.1    +8.5    -8.5
152.0    0.04663     +2.8    -9.1    +8.5    -8.5
154.0    0.04470     +2.8    -9.1    +8.5    -8.5
156.0    0.04285     +2.8    -9.1    +8.5    -8.5
158.0    0.04108     +2.8    -9.1    +8.5    -8.5
160.0    0.03940     +2.7    -9.0    +8.5    -8.5
162.0    0.03781     +2.7    -9.0    +8.5    -8.5
164.0    0.03630     +2.7    -9.0    +8.6    -8.6
165.0    0.03557     +2.7    -9.0    +8.6    -8.6
166.0    0.03486     +2.7    -9.0    +8.6    -8.6
168.0    0.03349     +2.7    -9.0    +8.6    -8.6
170.0    0.03218     +2.7    -9.0    +8.6    -8.6
