#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %  σ(gg→ ZH) (fb)
124.4    0.3402  +2.9    -2.9    +2.8    -2.8    22.93
124.5    0.3393  +2.9    -2.9    +2.8    -2.8    22.90
124.6    0.3384  +2.9    -2.9    +2.8    -2.8    22.88
124.7    0.3376  +2.9    -2.9    +2.8    -2.8    22.85
124.8    0.3368  +2.9    -2.9    +2.7    -2.7    22.82
124.9    0.3359  +2.9    -2.9    +2.7    -2.7    22.80
125.0    0.3351  +2.9    -2.9    +2.7    -2.7    22.78
125.1    0.3341  +2.9    -2.9    +2.7    -2.7    22.75
125.2    0.3333  +2.9    -2.9    +2.7    -2.7    22.72
125.3    0.3325  +2.9    -2.9    +2.7    -2.7    22.70
125.4    0.3317  +2.9    -2.9    +2.6    -2.6    22.68
125.5    0.3309  +2.9    -2.9    +2.6    -2.6    22.65
125.6    0.3299  +3.0    -3.0    +2.7    -2.7    22.63
125.7    0.3291  +3.0    -3.0    +2.7    -2.7    22.60
125.8    0.3283  +3.0    -3.0    +2.7    -2.7    22.58
125.9    0.3275  +3.0    -3.0    +2.7    -2.7    22.56
126.0    0.3267  +3.0    -3.0    +2.7    -2.7    22.53
126.1    0.3258  +2.9    -2.9    +2.7    -2.7    22.50
126.2    0.3250  +2.9    -2.9    +2.7    -2.7    22.47
126.3    0.3243  +2.9    -2.9    +2.7    -2.7    22.45
126.4    0.3235  +2.9    -2.9    +2.6    -2.6    22.42
126.5    0.3227  +2.9    -2.9    +2.6    -2.6    22.39
126.6    0.3219  +2.9    -2.9    +2.7    -2.7    22.36
126.7    0.3210  +2.9    -2.9    +2.7    -2.7    22.34
126.8    0.3201  +2.9    -2.9    +2.7    -2.7    22.31
126.9    0.3192  +2.9    -2.9    +2.7    -2.7    22.28
127.0    0.3184  +2.9    -2.9    +2.8    -2.8    22.26
127.1    0.3175  +3.0    -3.0    +2.8    -2.8    22.23
127.2    0.3169  +3.0    -3.0    +2.8    -2.8    22.21
127.3    0.3161  +3.0    -3.0    +2.8    -2.8    22.17
127.4    0.3153  +3.0    -3.0    +2.7    -2.7    22.15
127.5    0.3145  +3.0    -3.0    +2.7    -2.7    22.12
127.6    0.3137  +3.0    -3.0    +2.7    -2.7    22.10
127.7    0.3129  +3.0    -3.0    +2.7    -2.7    22.07
127.8    0.3122  +2.9    -2.9    +2.8    -2.8    22.04
127.9    0.3114  +2.9    -2.9    +2.8    -2.8    22.02
128.0    0.3106  +2.9    -2.9    +2.8    -2.8    21.99
128.1    0.3099  +3.0    -3.0    +2.8    -2.8    21.97
128.2    0.3090  +3.0    -3.0    +2.8    -2.8    21.94
128.3    0.3083  +3.0    -3.0    +2.8    -2.8    21.91
128.4    0.3075  +3.0    -3.0    +2.8    -2.8    21.89
128.5    0.3068  +3.0    -3.0    +2.8    -2.8    21.86
128.6    0.3060  +3.0    -3.0    +2.8    -2.8    21.84
128.7    0.3054  +3.0    -3.0    +2.8    -2.8    21.81
128.8    0.3046  +3.0    -3.0    +2.8    -2.8    21.79
128.9    0.3039  +3.0    -3.0    +2.8    -2.8    21.76
129.0    0.3031  +3.0    -3.0    +2.8    -2.8    21.73
129.1    0.3023  +3.0    -3.0    +2.8    -2.8    21.71
129.2    0.3017  +3.0    -3.0    +2.8    -2.8    21.68
129.3    0.3010  +3.0    -3.0    +2.8    -2.8    21.65
129.4    0.3002  +3.0    -3.0    +2.8    -2.8    21.63
129.5    0.2994  +3.0    -3.0    +2.7    -2.7    21.60
129.6    0.2986  +3.0    -3.0    +2.8    -2.8    21.58
129.7    0.2979  +3.0    -3.0    +2.8    -2.8    21.55
129.8    0.2972  +3.0    -3.0    +2.8    -2.8    21.52
129.9    0.2965  +3.0    -3.0    +2.8    -2.8    21.50
130.0    0.2957  +3.0    -3.0    +2.8    -2.8    21.47
130.5    0.2920  +3.0    -3.0    +2.8    -2.8    21.33
131.0    0.2883  +3.1    -3.1    +2.8    -2.8    21.20
131.5    0.2848  +3.1    -3.1    +2.8    -2.8    21.07
132.0    0.2813  +3.1    -3.1    +2.8    -2.8    20.93
132.5    0.2780  +3.1    -3.1    +2.8    -2.8    20.81
133.0    0.2746  +3.1    -3.1    +2.8    -2.8    20.68
133.5    0.2712  +3.1    -3.1    +2.8    -2.8    20.50
134.0    0.2680  +3.1    -3.1    +2.8    -2.8    20.39
134.5    0.2647  +3.2    -3.2    +2.8    -2.8    20.26
135.0    0.2616  +3.2    -3.2    +2.8    -2.8    20.11
135.5    0.2585  +3.2    -3.2    +2.8    -2.8    19.98
136.0    0.2555  +3.2    -3.2    +2.8    -2.8    19.92
136.5    0.2525  +3.2    -3.2    +2.9    -2.9    19.80
137.0    0.2495  +3.3    -3.3    +2.9    -2.9    19.67
137.5    0.2464  +3.3    -3.3    +2.9    -2.9    19.54
138.0    0.2436  +3.3    -3.3    +2.9    -2.9    19.42
138.5    0.2406  +3.3    -3.3    +2.9    -2.9    19.21
139.0    0.2377  +3.3    -3.3    +2.9    -2.9    19.09
139.5    0.2350  +3.3    -3.3    +2.9    -2.9    18.98
140.0    0.2322  +3.3    -3.3    +2.9    -2.9    18.86
140.5    0.2294  +3.3    -3.3    +2.9    -2.9    18.75
141.0    0.2269  +3.3    -3.3    +2.9    -2.9    18.64
141.5    0.2243  +3.3    -3.3    +2.9    -2.9    18.55
142.0    0.2216  +3.4    -3.4    +2.9    -2.9    18.43
142.5    0.2190  +3.4    -3.4    +2.9    -2.9    18.32
143.0    0.2165  +3.4    -3.4    +2.9    -2.9    18.22
143.5    0.2142  +3.4    -3.4    +2.9    -2.9    18.11
144.0    0.2117  +3.4    -3.4    +2.9    -2.9    18.02
144.5    0.2091  +3.4    -3.4    +2.9    -2.9    17.80
145.0    0.2068  +3.4    -3.4    +2.9    -2.9    17.68
145.5    0.2042  +3.5    -3.5    +2.9    -2.9    17.57
146.0    0.2019  +3.5    -3.5    +2.9    -2.9    17.46
146.5    0.1996  +3.5    -3.5    +2.9    -2.9    17.35
147.0    0.1973  +3.5    -3.5    +3.0    -3.0    17.24
147.5    0.1951  +3.5    -3.5    +3.0    -3.0    17.13
148.0    0.1928  +3.5    -3.5    +3.0    -3.0    17.01
148.5    0.1906  +3.5    -3.5    +3.0    -3.0    16.90
149.0    0.1884  +3.5    -3.5    +3.0    -3.0    16.79
149.5    0.1862  +3.6    -3.6    +3.0    -3.0    16.68
150.0    0.1842  +3.6    -3.6    +3.0    -3.0    16.57
152.0    0.1758  +3.6    -3.6    +3.0    -3.0    16.11
154.0    0.1680  +3.7    -3.7    +3.1    -3.1    15.66
156.0    0.1599  +3.8    -3.8    +3.1    -3.1    15.22
158.0    0.1518  +3.9    -3.9    +3.1    -3.1    14.79
160.0    0.1442  +3.9    -3.9    +3.1    -3.1    14.38
162.0    0.1397  +3.9    -3.9    +3.1    -3.1    13.97
164.0    0.1354  +3.9    -3.9    +3.1    -3.1    13.56
165.0    0.1334  +3.9    -3.9    +3.1    -3.1    13.36
166.0    0.1305  +3.9    -3.9    +3.1    -3.1    13.15
168.0    0.1252  +4.0    -4.0    +3.2    -3.2    12.75
170.0    0.1200  +4.1    -4.1    +3.2    -3.2    12.37
172.0    0.1151  +4.1    -4.1    +3.2    -3.2    11.99
174.0    0.1103  +4.2    -4.2    +3.2    -3.2    11.60
175.0    0.1080  +4.2    -4.2    +3.2    -3.2    11.41
176.0    0.1056  +4.2    -4.2    +3.2    -3.2    11.23
178.0    0.1012  +4.2    -4.2    +3.2    -3.2    10.86
180.0    0.09686     +4.2    -4.2    +3.3    -3.3    10.50
182.0    0.09336     +4.2    -4.2    +3.3    -3.3    10.15
184.0    0.09000     +4.3    -4.3    +3.3    -3.3    9.816
185.0    0.08836     +4.3    -4.3    +3.3    -3.3    9.651
186.0    0.08665     +4.3    -4.3    +3.3    -3.3    9.486
188.0    0.08341     +4.3    -4.3    +3.4    -3.4    9.163
190.0    0.08026     +4.3    -4.3    +3.4    -3.4    8.846
192.0    0.07727     +4.3    -4.3    +3.4    -3.4    8.539
194.0    0.07443     +4.4    -4.4    +3.4    -3.4    8.300
195.0    0.07305     +4.4    -4.4    +3.4    -3.4    8.158
196.0    0.07169     +4.4    -4.4    +3.4    -3.4    8.013
198.0    0.06906     +4.4    -4.4    +3.4    -3.4    7.737
200.0    0.06651     +4.4    -4.4    +3.5    -3.5    7.436
202.0    0.06411     +4.4    -4.4    +3.5    -3.5    7.193
204.0    0.06178     +4.4    -4.4    +3.5    -3.5    6.921
206.0    0.05950     +4.4    -4.4    +3.5    -3.5    6.624
208.0    0.05733     +4.4    -4.4    +3.5    -3.5    6.361
210.0    0.05527     +4.4    -4.4    +3.5    -3.5    6.108
212.0    0.05327     +4.4    -4.4    +3.5    -3.5    5.859
214.0    0.05140     +4.4    -4.4    +3.6    -3.6    5.614
216.0    0.04957     +4.4    -4.4    +3.6    -3.6    5.380
218.0    0.04782     +4.4    -4.4    +3.6    -3.6    5.152
220.0    0.04612     +4.3    -4.3    +3.6    -3.6    4.930
222.0    0.04450     +4.3    -4.3    +3.7    -3.7    4.713
224.0    0.04294     +4.3    -4.3    +3.7    -3.7    4.504
