#mH (GeV) 	GammaH (GeV) 	+width % 	-width % 
133	0.0056	3.169976727	3.125200997
133.5	0.00574	3.10496966	3.066002697
134	0.00588	3.052276536	3.016938731
134.5	0.00603	2.989637204	2.974360408
135	0.00618	2.92714439	2.926916672
135.5	0.00634	2.891416004	2.855665337
136	0.00651	2.817994771	2.814439245
136.5	0.00669	2.774498067	2.763018624
137	0.00687	2.728240846	2.700099874
137.5	0.00706	2.671535903	2.654749916
138	0.00726	2.605431799	2.606776619
138.5	0.00747	2.561483915	2.542700425
139	0.0077	2.524894356	2.497172177
139.5	0.00793	2.455026813	2.434721841
140	0.00817	2.40917929	2.390261715
140.5	0.00843	2.349371038	2.34610306
141	0.0087	2.294366487	2.290619959
141.5	0.00898	2.247949061	2.244540035
142	0.00928	2.194769145	2.181130377
142.5	0.00959	2.154326418	2.123000739
143	0.00992	2.079031806	2.083021227
143.5	0.0103	2.030306722	2.030906193
144	0.0106	1.983524675	1.981529164
144.5	0.011	1.940430556	1.945726394
145	0.0114	1.907740564	1.877786478
145.5	0.0119	1.835083499	1.863832744
146	0.0123	1.803144742	1.782694328
146.5	0.0128	1.767763886	1.742578638
147	0.0133	1.729856381	1.687995556
147.5	0.0139	1.675389903	1.671850948
148	0.0145	1.635467844	1.60158653
148.5	0.0151	1.567438329	1.578222995
149	0.0158	1.531207272	1.540012205
149.5	0.0165	1.502427758	1.481927022
150	0.0173	1.446718409	1.448261117
152	0.0211	1.283210781	1.288320852
154	0.0266	1.127117314	1.131945238
156	0.0351	1.014684547	0.984919624
158	0.0502	0.845193843	0.842928162
160	0.0831	0.716267349	0.714563213
162	0.147	0.637475259	0.635391661
164	0.215	0.603025769	0.603296415
165	0.246	0.595491056	0.59387856
166	0.276	0.588777399	0.586955599
168	0.33	0.579484055	0.579825747
170	0.38	0.573022137	0.573859325
172	0.429	0.569952796	0.568851286
174	0.477	0.566111915	0.566089553
175	0.501	0.564743506	0.564493063
176	0.525	0.563573528	0.562561256
178	0.575	0.560498905	0.561678075
180	0.631	0.558051784	0.559410493
182	0.7	0.556534105	0.55582067
184	0.788	0.554358676	0.554508351
185	0.832	0.553123473	0.553625267
186	0.876	0.551660508	0.552534747
188	0.96	0.55090793	0.551063806
